Time,Output power,weather
01-01-2023,17.239,mostly cloudy
02-01-2023,17.007,mostly cloudy
03-01-2023,15.196,mostly sunny
04-01-2023,16.297,thunderstorm
05-01-2023,16.181,mostly sunny
06-01-2023,6.572,sunny
07-01-2023,18.317,partly cloudy
08-01-2023,22.951,mostly sunny
09-01-2023,21.619,sunny
10-01-2023,21.196,sunny
11-01-2023,20.189,rain
12-01-2023,19.48,fog
13-01-2023,18.904,scattered showers
14-01-2023,19.219,mostly sunny
15-01-2023,19.128,clean
16-01-2023,19.923,mostly sunny
17-01-2023,20.393,mostly sunny
18-01-2023,19.497,cloudy
19-01-2023,19.011,mostly sunny
20-01-2023,19.484,mostly sunny
21-01-2023,17.943,cloudy
22-01-2023,19.408,cloudy
23-01-2023,17.387,sunny
24-01-2023,19.834,fog
25-01-2023,20.59,sunny
26-01-2023,20.112,thunderstorm
27-01-2023,19.59,scattered showers
28-01-2023,17.687,sunny
29-01-2023,17.87,sunny
30-01-2023,13.748,sunny
31-01-2023,14.776,sunny
01-02-2023,14.568,mist
02-02-2023,17.576,mostly sunny
03-02-2023,18.822,mostly cloudy
04-02-2023,18.143,mostly cloudy
05-02-2023,17.459,rain
06-02-2023,16.708,sunny
07-02-2023,13.758,sunny
08-02-2023,15.915,mist
09-02-2023,17.729,sunny
10-02-2023,17.638,sunny
11-02-2023,18.087,sunny
12-02-2023,17.625,sunny
13-02-2023,19.486,partly cloudy
14-02-2023,19.218,cloudy
15-02-2023,18.801,sunny
16-02-2023,18.525,sunny
17-02-2023,17.973,sunny
18-02-2023,16.812,cloudy
19-02-2023,16.689,partly cloudy
20-02-2023,16.922,mostly sunny
21-02-2023,17.304,sunny
22-02-2023,16.712,mostly cloudy
23-02-2023,16.451,mostly sunny
24-02-2023,16.64,partly cloudy
25-02-2023,17.038,partly cloudy
26-02-2023,16.838,partly cloudy
27-02-2023,15.921,fog
28-02-2023,15.937,rain
01-03-2023,16.089,rain
02-03-2023,15.775,mostly sunny
03-03-2023,12.636,sunny
04-03-2023,14.312,sunny
05-03-2023,14.466,sunny
06-03-2023,13.348,sunny
07-03-2023,16.006,sunny
08-03-2023,14.75,sunny
09-03-2023,14.81,rain
10-03-2023,15.049,thunderstorm
11-03-2023,14.413,mostly sunny
12-03-2023,14.643,sunny
13-03-2023,14.245,fog
14-03-2023,13.699,thunderstorm
15-03-2023,13.128,sunny
16-03-2023,6.694,fog
17-03-2023,18.588,partly cloudy
18-03-2023,17.562,cloudy
19-03-2023,23.444,partly cloudy
20-03-2023,17.996,sunny
21-03-2023,28.936,sunny
22-03-2023,27.028,partly cloudy
23-03-2023,28.143,partly cloudy
24-03-2023,25.122,sunny
25-03-2023,17.371,cloudy
26-03-2023,26.883,sunny
27-03-2023,27.883,sunny
28-03-2023,27.262,mostly cloudy
29-03-2023,21.784,clean
30-03-2023,27.806,mostly sunny
31-03-2023,24.188,sunny
01-04-2023,20.277,partly cloudy
02-04-2023,26.945,mostly cloudy
03-04-2023,20.135,sunny
04-04-2023,14.82,sunny
05-04-2023,25.821,drizzle
06-04-2023,19.574,mostly cloudy
07-04-2023,19.245,mostly sunny
08-04-2023,25.743,cloudy
09-04-2023,26.816,mostly sunny
10-04-2023,26.514,cloudy
11-04-2023,26.045,fog
12-04-2023,21.879,cloudy
13-04-2023,19.406,partly cloudy
14-04-2023,14.05,sunny
15-04-2023,20.043,cloudy
16-04-2023,23.628,mostly cloudy
17-04-2023,16.444,mostly cloudy
18-04-2023,21.122,mostly cloudy
19-04-2023,18.664,mostly cloudy
20-04-2023,20.448,sunny
21-04-2023,22.274,thunderstorm
22-04-2023,25.425,scattered showers
23-04-2023,22.706,thunderstorm
24-04-2023,22.613,sunny
25-04-2023,22.477,fog
26-04-2023,26.192,mostly sunny
27-04-2023,21.744,fog
28-04-2023,22.353,mostly sunny
29-04-2023,24.445,mist
30-04-2023,17.665,sunny
01-05-2023,18.761,sunny
02-05-2023,21.946,cloudy
03-05-2023,18.267,rain
04-05-2023,19.212,scattered showers
05-05-2023,18.272,mostly cloudy
06-05-2023,22.297,partly cloudy
07-05-2023,22.508,drizzle
08-05-2023,25.627,rain
09-05-2023,23.746,sunny
10-05-2023,23.973,sunny
11-05-2023,22.556,sunny
12-05-2023,22.55,sunny
13-05-2023,25.859,sunny
14-05-2023,26.548,cloudy
15-05-2023,25.383,sunny
16-05-2023,26.669,mostly cloudy
17-05-2023,24.999,sunny
18-05-2023,24.576,sunny
19-05-2023,24.509,sunny
20-05-2023,23.323,sunny
21-05-2023,23.398,sunny
22-05-2023,24.393,sunny
23-05-2023,24.558,scattered showers
24-05-2023,22.489,sunny
25-05-2023,20.135,mist
26-05-2023,16.387,cloudy
27-05-2023,22.353,sunny
28-05-2023,25.784,mostly cloudy
29-05-2023,22.198,partly cloudy
30-05-2023,21.895,sunny
31-05-2023,22.771,sunny
